FullGeneName,GeneID,SortIndex,Uniprot ID,GeneName,Length (bp),PZ,OrthologID_D,OrthologID_CM,Product,Mass (kD),Function,Mem true,Hyp true,DNA true,Secr true,Inc true,Protein Family,EB,RB,Microarray,PDB ID,PDB,PDBImageURL,AlphaFold ID,AFImageURL,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcellular Location,Subunit Structure,LastEdited,EditedByName,Favorite
hemB CTL0001,CTL0001,1,A0A0H3MJK6,hemB,338,,CT633,TC0001,Delta-aminolevulinic acid dehydratase,37.7,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,ALAD family,8,ND,Constitutive,,,,A0A0H3MJK6,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0001.png,AF2,,protoporphyrinogen IX biosynthetic process [GO:0006782],,metal ion binding [GO:0046872]; porphobilinogen synthase activity [GO:0004655],,Homooctamer,7/25/2025 11:36:46,Kevin Hybiske,
nqrA CTL0002,CTL0002,2,B0B8K9,nqrA,465,,CT634,TC0002,Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A),51.8,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,NqrA family,56,ND,Mid_Late,,,,B0B8K9,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0002.png,AF2,,sodium ion transport [GO:0006814],,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",,"Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00425}.",,,
 CTL0003,CTL0003,3,A0A0H3MB03,,144,,CT635,TC0003,Uncharacterized protein,16.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,76,ND,Mid_Late,,,,A0A0H3MB03,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0003.png,AF2,,,,,,,,,
greA CTL0004,CTL0004,4,A0A0H3MAD9,greA,715,,CT636,TC0004,Transcription elongation factor GreA (Transcript cleavage factor GreA),81.0,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,GreA/GreB family,78,57,Constitutive,,,,A0A0H3MAD9,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0004.png,AF2,,regulation of DNA-templated transcription elongation [GO:0032784],,DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063]; translation elongation factor activity [GO:0003746],,,,,
aspC CTL0005,CTL0005,5,A0A0H3MG09,aspC,400,,CT637,TC0005,Aminotransferase (EC 2.6.1.-),44.7,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Class-I pyridoxal-phosphate-dependent aminotransferase family,31,NQ,Constitutive,,,,A0A0H3MG09,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0005.png,AF2,,amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058],,pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483],,Homodimer. {ECO:0000256|ARBA:ARBA00011738}.,,,
 CTL0006,CTL0006,6,A0A0H3MCB4,,336,,CT638,TC0006,Cell shape-determining protein MreC (Cell shape protein MreC),37.2,Cell envelope,FALSE,FALSE,FALSE,FALSE,FALSE,MreC family,ND,ND,Constitutive,,,,A0A0H3MCB4,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0006.png,AF2,,regulation of cell shape [GO:0008360],membrane [GO:0016020],,,,,,
recB CTL0007,CTL0007,7,A0A0H3MJN8,recB,1026,,CT639,TC0007,DNA 3'-5' helicase (EC 5.6.2.4),117.9,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MJN8,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0007.png,AF2,,DNA repair [GO:0006281],,ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; exodeoxyribonuclease V activity [GO:0008854]; metal ion binding [GO:0046872],,,,,
recC CTL0008,CTL0008,8,A0A0H3MB23,recC,1006,,CT640,TC0008,Exodeoxyribonuclease V gamma chain,114.7,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MB23,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0008.png,AF2,,,,ATP binding [GO:0005524]; nuclease activity [GO:0004518],,,,,
 CTL0009,CTL0009,9,A0A0H3MAJ4,,559,,CT641,TC0009,Membrane efflux protein,61.9,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MAJ4,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0009.png,AF2,,,membrane [GO:0016020],transmembrane transporter activity [GO:0022857],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 CTL0010,CTL0010,10,A0A0H3MG36,,271,,CT642,TC0010,Membrane protein,32.1,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,ND,ND,Constitutive,,,,A0A0H3MG36,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/L2/CTL0010.png,AF2,,,membrane [GO:0016020],,,,,,
