FullGeneName,GeneID,SortIndex,Uniprot ID,GeneName,Length (bp),PZ,OrthologID_D,OrthologID_L2,Product,Mass (kD),Function,Mem true,Hyp true,DNA true,Secr true,Inc true,Protein Family,PDB ID,PDB,PDBImageURL,AlphaFold ID,AFImageURL,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcellular Location,Subunit Structure,LastEdited,EditedByName,Favorite
hemB TC0001,TC0001,1,Q9PLU4,hemB,333,,CT633,CTL0001,Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase),37.5,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,ALAD family,,,,Q9PLU4,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0001.png,AF2,,protoporphyrinogen IX biosynthetic process [GO:0006782],,metal ion binding [GO:0046872]; porphobilinogen synthase activity [GO:0004655],,Homooctamer,7/25/2025 11:37:20,Kevin Hybiske,
nqrA TC0002,TC0002,2,Q9PLU3,nqrA,465,,CT634,CTL0002,Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A),51.6,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,NqrA family,,,,Q9PLU3,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0002.png,AF2,,sodium ion transport [GO:0006814],,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",,"Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00425}.",,,
 TC0003,TC0003,3,Q9PLU2,,143,,CT635,CTL0003,Uncharacterized protein TC_0003,16.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Chlamydial CPn_0742/CT_635/TC_0003 family,,,,Q9PLU2,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0003.png,AF2,,,,,,,,,
greA TC0004,TC0004,4,Q9PLU1,greA,714,,CT636,CTL0004,Transcription elongation factor GreA (Transcript cleavage factor GreA),81.0,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,GreA/GreB family,,,,Q9PLU1,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0004.png,AF2,,regulation of DNA-templated transcription elongation [GO:0032784],,DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063],,,,,
 TC0005,TC0005,5,Q9PLU0,,400,,CT637,CTL0005,Aminotransferase (EC 2.6.1.-),44.6,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Class-I pyridoxal-phosphate-dependent aminotransferase family,,,,Q9PLU0,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0005.png,AF2,,amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058],,pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483],,Homodimer. {ECO:0000256|ARBA:ARBA00011738}.,,,
 TC0006,TC0006,6,Q9PLT9,,345,,CT638,CTL0006,Cell shape-determining protein MreC (Cell shape protein MreC),38.1,Cell envelope,FALSE,FALSE,FALSE,FALSE,FALSE,MreC family,,,,Q9PLT9,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0006.png,AF2,,regulation of cell shape [GO:0008360],,,,,,,
recB TC0007,TC0007,7,Q9PLT8,recB,1026,,CT639,CTL0007,RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB),117.8,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,"Helicase family, UvrD subfamily",,,,Q9PLT8,,,,DNA repair [GO:0006281],,ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; exodeoxyribonuclease V activity [GO:0008854]; metal ion binding [GO:0046872],,"Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. Interacts with RecA. {ECO:0000255|HAMAP-Rule:MF_01485}.",,,
 TC0008,TC0008,8,Q9PLT7,,1025,,CT640,CTL0008,"Exodeoxyribonuclease V, gamma subunit, putative",116.9,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,Q9PLT7,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0008.png,AF2,,,,ATP binding [GO:0005524]; nuclease activity [GO:0004518],,,,,
 TC0009,TC0009,9,Q9PLT6,,559,,CT641,CTL0009,Major facilitator superfamily (MFS) profile domain-containing protein,62.2,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLT6,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0009.png,AF2,,,membrane [GO:0016020],transmembrane transporter activity [GO:0022857],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 TC0010,TC0010,10,Q9PLT5,,270,,CT642,CTL0010,Uncharacterized protein,32.1,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,Q9PLT5,https://raw.githubusercontent.com/khybiske/ChlamAtlas/refs/heads/main/AFmodels/CM/TC0010.png,AF2,,,membrane [GO:0016020],,,,,,
 TC0011,TC0011,11,Q9PLT4,,100,,,,Uncharacterized protein,11.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLT4,,,,,membrane [GO:0016020],,,,,,
topA TC0012,TC0012,12,Q9PLT3,topA,865,,CT643,CTL0011,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),97.9,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,Type IA topoisomerase family,,,,Q9PLT3,,,,DNA topological change [GO:0006265],chromosome [GO:0005694],"DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]",,Monomer. {ECO:0000256|HAMAP-Rule:MF_00952}.,,,
 TC0013,TC0013,13,Q9PLT2,,334,,CT644,CTL0012,tRNA-dihydrouridine synthase (EC 1.3.1.-),37.0,Other,FALSE,FALSE,FALSE,FALSE,FALSE,Dus family,,,,Q9PLT2,,,,,,flavin adenine dinucleotide binding [GO:0050660]; RNA binding [GO:0003723]; tRNA dihydrouridine synthase activity [GO:0017150],,,,,
 TC0014,TC0014,14,Q9PLT1,,98,,CT645,CTL0013,YggT family protein,11.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,YggT family,,,,Q9PLT1,,,,,membrane [GO:0016020],,,,,,
 TC0015,TC0015,15,Q9PLT0,,459,,CT646,CTL0014,Uncharacterized protein,51.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLT0,,,,,membrane [GO:0016020],,,,,,
 TC0016,TC0016,16,Q9PLS9,,192,,CT647,CTL0015,Lipoprotein,21.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLS9,,,,,,,,,,,
 TC0017,TC0017,17,Q9PLS8,,424,,CT648,CTL0016,Phophatidylinositol-4-phosphate 5-kinase,47.6,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLS8,,,,,,,,,,,
 TC0018,TC0018,18,Q9PLS7,,178,,CT649,CTL0017,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),20.3,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,5-formyltetrahydrofolate cyclo-ligase family,,,,Q9PLS7,,,,,,5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272]; ATP binding [GO:0005524]; metal ion binding [GO:0046872],,,,,
recA TC0019,TC0019,19,Q9PLS6,recA,354,,CT650,CTL0018,Protein RecA (Recombinase A),38.1,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,RecA family,,,,Q9PLS6,,,,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432],cytoplasm [GO:0005737],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00268}.,,,,
 TC0020,TC0020,20,Q9PLS5,,609,,CT651,CTL0019,Uncharacterized protein,71.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLS5,,,,,,,,,,,
 TC0021,TC0021,21,Q9PLS4,,497,,CT652,CTL0020,"Exodeoxyribonuclease V, alpha subunit, putative",55.6,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,Q9PLS4,,,,DNA recombination [GO:0006310]; double-strand break repair [GO:0006302],exodeoxyribonuclease V complex [GO:0009338],exodeoxyribonuclease V activity [GO:0008854]; helicase activity [GO:0004386],,,,,
 TC0022,TC0022,22,Q9PLS3,,59,,,CTL0021,Uncharacterized protein,6.7,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLS3,,,,,,,,,,,
 TC0023,TC0023,23,Q9PLS2,,239,,CT653,CTL0022,"ABC transporter, ATP-binding protein",26.5,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLS2,,,,transmembrane transport [GO:0055085],ATP-binding cassette (ABC) transporter complex [GO:0043190],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
 TC0024,TC0024,24,Q9PLS1,,162,,CT654,CTL0023,Lipoprotein,18.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLS1,,,,,,,,,,,
