,,,,Chlamydia muridarum,,,,,,,,,FUNCTIONAL ANNOTATIONS,,,,,,,,,,,,,,,,,,MUTANTS,,,,STRUCTURAL MODELS,,,,,,,,,,,,,,,
,,,,,,,,ORTHOLOGS,,,,,,,115 (13%),115,914 (100%),914,59 (6%),59,0 (0%),0,23 (3%),23,,PROTEOMICS,,,,38,35,,4,,,,,,,,,,,,,,,,,
FullGeneName,GeneID,Uniprot ID,Gene,Length (bp),Len,Length,PZ,OrthologID_D,OrthologID_L2,Protein,Mass (kD),UniprotID,Function,Annot Color,Membrane,Mem true,Hypothetical,Hyp true,DNA bind,DNA true,Secreted,Secr true,Inc,Inc true,Protein Family,EB,RB,EB vs RB,Expression 📈,Mutant(s),Tn,Tn true,λRed,LR true,PDB ID,PDB,Structure,AlphaFold ID,Model,mmCIF file,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcell,Subcellular Location,Subunit,Subunit Structure,FavoritedBy
hemB TC0001,TC0001,Q9PLU4,hemB,333,333,,,,CTL0001,Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase),37.5,Q9PLU4,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,ALAD family,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLU4,,,,,protoporphyrinogen IX biosynthetic process [GO:0006782],,metal ion binding [GO:0046872]; porphobilinogen synthase activity [GO:0004655],,,SUBUNIT: Homooctamer. {ECO:0000250}.,Homooctamer. {ECO:0000250}.,
nqrA TC0002,TC0002,Q9PLU3,nqrA,465,465,,,,CTL0002,Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A),51.6,Q9PLU3,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,NqrA family,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLU3,,,,,sodium ion transport [GO:0006814],,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",,,"SUBUNIT: Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00425}.","Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00425}.",
 TC0003,TC0003,Q9PLU2,,143,143,,,,CTL0003,Uncharacterized protein TC_0003,16.5,Q9PLU2,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,Chlamydial CPn_0742/CT_635/TC_0003 family,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLU2,,,,,,,,,,,,
greA TC0004,TC0004,Q9PLU1,greA,714,714,,,,CTL0004,Transcription elongation factor GreA (Transcript cleavage factor GreA),81.0,Q9PLU1,Unknown,AAAAAA,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,GreA/GreB family,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLU1,,,,,regulation of DNA-templated transcription elongation [GO:0032784],,DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063],,,,,
 TC0005,TC0005,Q9PLU0,,400,400,,,,CTL0005,Aminotransferase (EC 2.6.1.-),44.6,Q9PLU0,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,Class-I pyridoxal-phosphate-dependent aminotransferase family,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLU0,,,,,amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058],,pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483],,,SUBUNIT: Homodimer. {ECO:0000256|ARBA:ARBA00011738}.,Homodimer. {ECO:0000256|ARBA:ARBA00011738}.,
 TC0006,TC0006,Q9PLT9,,345,345,,,,CTL0006,Cell shape-determining protein MreC (Cell shape protein MreC),38.1,Q9PLT9,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,MreC family,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLT9,,,,,regulation of cell shape [GO:0008360],,,,,,,
recB TC0007,TC0007,Q9PLT8,recB,1026,1026,,,,CTL0007,RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB),117.8,Q9PLT8,Unknown,AAAAAA,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,"Helicase family, UvrD subfamily",,,,,FALSE,,FALSE,,FALSE,,,,Q9PLT8,,,,,DNA repair [GO:0006281],,ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; exodeoxyribonuclease V activity [GO:0008854]; metal ion binding [GO:0046872],,,"SUBUNIT: Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. Interacts with RecA. {ECO:0000255|HAMAP-Rule:MF_01485}.","Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. Interacts with RecA. {ECO:0000255|HAMAP-Rule:MF_01485}.",
 TC0008,TC0008,Q9PLT7,,1025,1025,,,,CTL0008,"Exodeoxyribonuclease V, gamma subunit, putative",116.9,Q9PLT7,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLT7,,,,,,,ATP binding [GO:0005524]; nuclease activity [GO:0004518],,,,,
 TC0009,TC0009,Q9PLT6,,559,559,,,,CTL0009,Major facilitator superfamily (MFS) profile domain-containing protein,62.2,Q9PLT6,Unknown,AAAAAA,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLT6,,,,,,membrane [GO:0016020],transmembrane transporter activity [GO:0022857],SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,
 TC0010,TC0010,Q9PLT5,,270,270,,,,CTL0010,Uncharacterized protein,32.1,Q9PLT5,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLT5,,,,,,membrane [GO:0016020],,,,,,
 TC0011,TC0011,Q9PLT4,,100,100,,,,,Uncharacterized protein,11.3,Q9PLT4,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,,,,,FALSE,,FALSE,,FALSE,,,,Q9PLT4,,,,,,membrane [GO:0016020],,,,,,
